TICKER,NAME,FOREIGN
BG,Bunge Limited,false
CRH,CRH PLC American Depositary Shares,true
CVX,Chevron Corporation,false
EMN,Eastman Chemical Company,false
GLW,Corning Incorporated,false
HIG,Hartford Financial Services Group Inc. (The),false
HPE,Hewlett Packard Enterprise Company,false
HUN,Huntsman Corporation,false
IP,International Paper Company,false
LXFR,Luxfer Holdings PLC,false
MO,Altria Group Inc.,false
NOK,Nokia Corporation Sponsored American Depositary Shares,true
OMC,Omnicom Group Inc.,false
STX,Seagate Technology PLC,false
THG,Hanover Insurance Group Inc,false
XOM,Exxon Mobil Corporation,false
